province,subject_group,college_code,college_name,school_type,college_province,city,program_group,subject_requirement,year,min_score,min_rank
广东,历史,10001,北京大学,公办本科,北京,北京市,205,历史+不限,2025,669,28
广东,历史,10002,中国人民大学,公办本科,北京,北京市,205,历史+不限,2025,655,148
广东,历史,10002,中国人民大学,公办本科,北京,北京市,208,历史+不限,2025,666,47
广东,历史,10003,清华大学,公办本科,北京,北京市,203,历史+不限,2025,675,13
广东,历史,10004,北京交通大学,公办本科,北京,北京市,205,历史+不限,2025,610,3242
广东,历史,10004,北京交通大学,公办本科,北京,北京市,207,历史+不限,2025,609,3429
广东,历史,10006,北京航空航天大学,公办本科,北京,北京市,206,历史+不限,2025,641,493
广东,历史,10007,北京理工大学,公办本科,北京,北京市,204,历史+不限,2025,621,1840
广东,历史,10008,北京科技大学,公办本科,北京,北京市,209,历史+不限,2025,603,4596
广东,历史,10010,北京化工大学,公办本科,北京,北京市,207,历史+不限,2025,590,7555
广东,历史,10012,北京服装学院,公办本科,北京,北京市,206,历史+不限,2025,546,26327
广东,历史,10015,北京印刷学院,公办本科,北京,北京市,205,历史+不限,2025,557,20426
广东,历史,10019,中国农业大学,公办本科,北京,北京市,205,历史+不限,2025,614,2725
广东,历史,10019,中国农业大学(中外合作办学),公办本科,北京,,206,历史+不限,2025,596,6000
广东,历史,10019,中国农业大学,公办本科,北京,北京市,209,历史+不限,2025,605,4208
广东,历史,10022,北京林业大学,公办本科,北京,北京市,220,历史+不限,2025,595,6372
广东,历史,10022,北京林业大学,公办本科,北京,北京市,221,历史+不限,2025,591,7300
广东,历史,10022,北京林业大学,公办本科,北京,北京市,224,历史+不限,2025,596,6004
广东,历史,10022,北京林业大学,公办本科,北京,北京市,225,历史+不限,2025,590,7654
广东,历史,10026,北京中医药大学,公办本科,北京,北京市,208,历史+不限,2025,594,6531
广东,历史,10027,北京师范大学,公办本科,北京,北京市,211,历史+不限,2025,642,469
广东,历史,10027,北京师范大学,公办本科,北京,北京市,218,历史+不限,2025,628,1187
广东,历史,10028,首都师范大学,公办本科,北京,北京市,208,历史+不限,2025,596,5991
广东,历史,10029,首都体育学院,公办本科,北京,北京市,204,历史+不限,2025,547,25615
广东,历史,10030,北京外国语大学,公办本科,北京,北京市,211,历史+不限,2025,617,2308
广东,历史,10030,北京外国语大学,公办本科,北京,北京市,212,历史+不限,2025,616,2425
广东,历史,10030,北京外国语大学(中外合作办学),公办本科,北京,,213,历史+不限,2025,606,3906
