score,physics_rank,history_rank
697,19,
696,32,
695,39,
694,47,
693,57,
692,69,
691,78,
690,87,
689,105,
688,133,
687,150,
686,176,
685,205,
684,237,
683,266,
682,295,
681,330,
680,377,
679,411,
678,462,
677,510,
676,560,
675,642,
674,721,
673,790,
672,870,19
671,936,23
670,1003,25
669,1097,33
668,1182,39
667,1279,43
666,1376,48
665,1472,54
664,1578,58
663,1701,71
662,1825,81
661,1948,89
660,2089,95
659,2232,106
658,2372,119
657,2529,125
656,2697,139
655,2845,152
654,3043,160
653,3230,169
652,3383,182
651,3585,203
650,3792,219
649,4006,244
648,4226,267
647,4438,290
646,4675,323
645,4924,358
644,5166,397
643,5448,442
642,5734,482
641,6004,524
640,6295,553
639,6603,600
638,6959,640
637,7317,696
636,7659,735
635,8015,792
634,8360,840
633,8730,912
632,9102,968
631,9474,1016
630,9850,1107
629,10242,1181
628,10670,1257
627,11061,1338
626,11492,1417
625,11964,1494
624,12432,1586
623,12908,1682
622,13376,1778
621,13873,1890
620,14378,2011
619,14895,2131
618,15408,2245
617,15971,2366
616,16493,2472
615,17051,2597
614,17622,2753
613,18205,2896
612,18818,3035
611,19415,3180
610,20036,3336
609,20682,3505
608,21322,3676
607,22045,3854
606,22708,4044
605,23405,4235
604,24091,4435
603,24758,4644
602,25508,4868
601,26228,5069
600,26988,5295
599,27766,5521
598,28531,5751
597,29336,5980
596,30131,6223
595,30924,6493
594,31760,6740
593,32651,6999
592,33523,7273
591,34343,7548
590,35158,7863
589,36022,8167
588,36929,8476
587,37840,8798
586,38783,9118
585,,9432
584,40785,9795
583,41752,10141
582,42752,10500
581,43757,10865
580,44792,11211
579,45812,11587
578,46800,11930
577,47868,12288
576,48986,12651
575,50077,13010
574,51128,13403
573,52244,13763
572,53307,14164
571,54542,14532
570,55692,14884
569,56910,15305
568,58084,15728
567,59354,16169
566,60575,16621
565,61836,17053
564,63021,17511
563,64290,17952
562,65510,18408
561,66789,18892
560,68128,19388
559,69412,19858
558,70746,20329
557,72077,20815
556,73429,21302
555,74783,21788
554,76147,22300
553,77554,22812
552,78904,23298
551,80319,23796
550,81695,24335
549,83144,24847
548,84612,25413
547,86135,25975
546,87666,26514
545,89208,27077
544,90713,27622
543,92214,28222
542,93732,28818
541,95292,29434
540,96825,30032
539,98390,30648
538,99935,31258
537,101511,31844
536,103195,32473
535,104755,33134
534,,33782
533,107881,34382
532,109524,35024
531,111214,35671
530,112996,36301
529,114677,36999
528,116332,37634
527,117960,38303
526,119647,38985
525,121385,39694
524,123093,40374
523,124908,41082
522,126594,41753
521,128289,42414
520,130005,43114
519,131771,43836
518,133455,44548
517,135184,45250
516,136893,45991
515,138620,46728
514,140395,47416
513,142204,48161
512,143986,48882
511,145769,49665
510,147552,50490
509,149384,51228
508,151175,51992
507,153017,52806
506,154772,53589
505,156639,54378
504,158412,55157
503,160236,55963
502,162025,56755
501,163758,57584
500,165626,58353
499,167475,59166
498,169297,60016
497,171228,60861
496,173025,61689
495,174781,62574
494,176620,63386
493,178416,64325
492,180218,65098
491,181963,65974
490,183772,66918
489,185688,67829
